Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,1172.84,Amara Raja Batteries Limited,Amara Raja Batteries LimitedPrivate,--,,Private,Announced,Telangana,Amara raja batteries cell component manufacturing and battery pack projects,battery
Contact,--,864.2,Amperex Technology Limited,Amperex Technology LimitedPrivate,--,,Private,Under Construction,Haryana,Amperex technology's battery manufacturing project,battery
Contact,--,74.07,Attero Recycling Private Limited,Attero Recycling Private LimitedPrivate,--,,Private,Announced,Telangana,Attero's project for lithium-ion battery recycling plant,battery
Contact,--,495.68,C4V Limited,C4V LimitedPrivate,--,,Private,Announced,Karnataka,"C4V's 5,000 GWh Lithium-ion cell manufacturing project",battery
Contact,--,--,Central Electro Chemical Research Institute (CECRI),Central Electro Chemical Research Institute (CECRI)Private,--,,Private,Announced,Tamil Nadu,CECRI's lithium-ion battery manufacturing plant,battery
Contact,--,74.07,Cygni Energy Private Limited,Cygni Energy Private LimitedPrivate,--,,Private,Announced,Telangana,Cygni Energy's 1.2 GWh Battery Pack projects,battery
Contact,--,246.91,Epsilon Advanced Materials Private Limited,Epsilon Advanced Materials Private LimitedPrivate,--,,Private,Announced,Karnataka,Epsilon Advanced Materials's anode material production plant,battery
Contact,--,--,Epsilon Advanced Materials Private Limited,Epsilon Advanced Materials Private LimitedPrivate,--,,Private,Announced,,Epsilon's project for cathode manufacturing,battery
Contact,--,493.83,Exide Industries Limited,Exide Industries LimitedPrivate,--,,Private,Under Construction,Karnataka,Exide Multi-gigawatt cell component manufacturing project,battery
Contact,--,7.41,Godi India Private Limited,Godi India Private LimitedPrivate,--,,Private,Announced,,GODI's 5.0 - 5.2Ah cells facility,battery
Contact,--,3.7,Gravita India Limited,Gravita India LimitedPrivate,--,,Private,Announced,Gujarat,"Gravita india 28,500 MTPA Battery Pack Recycling project",battery
Contact,--,123.46,HEG Limited,HEG Limited Private,--,,Private,Announced,,HEG's anode manufacturing facility,battery
Contact,--,2480.25,Hyundai Global Motors Company Limited,Hyundai Global Motors Company LimitedPrivate,--,,Private,Announced,Tamil Nadu,Hyundai Global battery manufacturing project,battery
Contact,--,18.52,Lohum Cleantech Private Limited,Lohum Cleantech Private LimitedPrivate,--,,Private,Announced,Uttar Pradesh,Lohum's 900 MW lithium ion battery project,battery
Contact,--,--,Lucas TVS Limited,Lucas TVS LimitedPrivate,--,,Private,Announced,Tamil Nadu,LUCAS TVS's project for 10 GWh lithium-ion battery facility in Tamil Nadu,battery
Contact,--,61.73,Luminous Power Technologies Private Limited,Luminous Power Technologies Private LimitedPrivate,--,,Private,Announced,,Luminous Power's battery manufacturing plant,battery
Contact,--,271.6,Manikaran Power Ltd & Neometals Ltd,Manikaran Power Ltd & Neometals LtdPrivate,--,,Private,Announced,Gujarat,Manikaran & Neometals lithium refinery,battery
Contact,--,6.17,Neuron Energy Pvt Limited,Neuron Energy Pvt LimitedPrivate,--,,Private,Under Construction,Maharashtra,Neuron Energy's battery pack assembly project,battery
Contact,--,940,Ola Electric Mobility Private Limited,Ola Electric Mobility Private LimitedPrivate,--,,Private,Announced,Tamil Nadu,Ola's lithium ion cell manufacturing project,battery
Contact,--,22.84,Power Global Limited,Power Global LimitedPrivate,--,,Private,Announced,Uttar Pradesh,Power Global's Battery Pack manufacturing project,battery
Contact,--,61.73,Qmax Ion Private Limited,Qmax Ion Private LimitedPrivate,--,,Private,Under Construction,Tamil Nadu,Qmax Ion 500 MW Battery Pack Assembly projects,battery
Contact,--,308.64,Rajesh Exports Limited,Rajesh Exports LimitedPrivate,--,,Private,Announced,Karnataka,Rajesh Exports project for setting up 5 GWh lithium-ion cell factory,battery
Contact,--,506.17,Reliance New Energy Solar Limited,Reliance New Energy Solar LimitedPrivate,--,,Private,Under Construction,Gujarat,Reliance's 5 GWh ACC battery manufacturing project,battery
Contact,--,24.69,Ruchira Green Earth Private Limited,Ruchira Green Earth Private LimitedPrivate,--,,Private,Under Construction,Haryana,Ruchira Green Earth's Battery Pack Assembly project,battery
Contact,--,24.69,Sanvaru Technology Limited,Sanvaru Technology LimitedPrivate,--,,Private,Announced,Uttarakhand,Sanvaru Technology's 400 MWh lithium battery manufacturing capacity,battery
Contact,--,901.23,Suzuki Motor Corporation,Suzuki Motor CorporationPrivate,--,,Private,Announced,Gujarat,Suzuki battery manufacturing project,battery
Contact,--,1.6,Tata Group,Tata GroupPrivate,--,,Private,Announced,Gujarat,Tata's Lithium ion battery pack facility,battery
Contact,--,1.19,A 2 Z Services,A 2 Z ServicesPrivate,--,,Private,Under Construction,West Bengal,Green Gas,biogas
Contact,--,--,A2dairyfarm,A2dairyfarmPrivate,--,,Private,Permitting,Haryana,A2dairyfarm,biogas
Contact,--,7.11,AARADHYA BIO FUEL PRIVATE LIMITED,AARADHYA BIO FUEL PRIVATE LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,AARADHYA BIO FUEL PRIVATE LIMITED,biogas
Contact,--,1.42,AARYAN COMPRESSED BIOGAS PRIVATE LIMITED,AARYAN COMPRESSED BIOGAS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Haryana,COMPRESSED BIO CNG AND ORGANIC FERTILIZER PLANT,biogas
Contact,--,14.22,AASMAK INDUSTRIES LIMITED,AASMAK INDUSTRIES LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,AASMAK INDUSTRIES LIMITED,biogas
Contact,--,14.22,AASMUK ENTERPRISES PRIVATE LIMITED,AASMUK ENTERPRISES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,AASMUK ENTERPRISES PRIVATE LIMITED,biogas
Contact,--,14.22,AASRIT ENERGY PLANTATIONS PRIVATE LIMITED,AASRIT ENERGY PLANTATIONS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Maharashtra,AASRIT ENERGY PLANTATIONS PRIVATE LIMITED,biogas
Contact,--,5.93,ABHAY CARRIERS PRIVATE LIMITED,ABHAY CARRIERS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Bihar,ABHAY CARRIERS PRIVATE LIMITED,biogas
Contact,--,1.48,ABHISHIKTH AGRO LLP,ABHISHIKTH AGRO LLPPrivate,--,,Private,Permitting,Telangana,VAYU SHAKTHI,biogas
Contact,--,2.96,ACCURATE BIO ENERGY SOLUTION,ACCURATE BIO ENERGY SOLUTIONPrivate,--,,Private,Permitting,Uttar Pradesh,ACCURATE BIO ENERGY SOLUTION,biogas
Contact,--,148.15,ACHUB BIO ENERGY PRIVATE LIMITED,ACHUB BIO ENERGY PRIVATE LIMITEDPrivate,--,,Private,Permitting,Karnataka,ACHUB BIO ENERGY PRIVATE LIMITED,biogas
Contact,--,3.79,ADD BIO RENERGY (OPC) PRIVATE LIMITED,ADD BIO RENERGY (OPC) PRIVATE LIMITEDPrivate,--,,Private,Permitting,Tamil Nadu,ADD BIO RENERGY (OPC) PRIVATE LIMITED,biogas
Contact,--,2.96,ADVANCED RENEWGAZ ENERGY PVT. LTD.,ADVANCED RENEWGAZ ENERGY PVT. LTD.Private,--,,Private,Permitting,Uttar Pradesh,"COMPRESSED BIO GAS PLANT , Pilibhit",biogas
Contact,--,0.3,AGRISMART AGRICLINIC,AGRISMART AGRICLINICPrivate,--,,Private,Permitting,Tamil Nadu,AGRISMART BIO PRODUCTS,biogas
Contact,--,0.59,AJIT KUMAR SINGH,AJIT KUMAR SINGHPrivate,--,,Private,Permitting,Uttar Pradesh,AJIT KUMAR SINGH,biogas
Contact,--,1.48,AKS RENEWABLE ENERGY PRIVATE LIMITED,AKS RENEWABLE ENERGY PRIVATE LIMITEDPrivate,--,,Private,Permitting,Haryana,AKS RENEWABLE ENERGY PRIVATE LIMITED,biogas
Contact,--,2.96,AKSHAR BIOTECH PVT LTD,AKSHAR BIOTECH PVT LTDPrivate,--,,Private,Permitting,Punjab,IMPERIAL BIO SYNERGY PRIVATE LIMITED,biogas
Contact,--,1.78,AKSHAR BIOTECH PVT LTD,AKSHAR BIOTECH PVT LTDPrivate,--,,Private,Permitting,Haryana,MOSA NATURE PVT LTD,biogas
Contact,--,2.07,AKSHAR BIOTECH PVT LTD,AKSHAR BIOTECH PVT LTDPrivate,--,,Private,Under Construction,Gujarat,AKSHAR BIOTECH PRIVATE LIMITED,biogas
Contact,--,7.11,AKSHAR BIOTECH PVT LTD,AKSHAR BIOTECH PVT LTDPrivate,--,,Private,Permitting,Maharashtra,RUGVED AGRO,biogas
Contact,--,26.07,AMAN Kumar,AMAN KumarPrivate,--,,Private,Permitting,Bihar,Bamboo,biogas
Contact,--,0.47,AMAR BIO ENERGIES,AMAR BIO ENERGIESPrivate,--,,Private,Under Construction,Haryana,"AMAR BIO ENERGIES, PANJUANA",biogas
Contact,--,0.47,AMAR BIO ENERGIES,AMAR BIO ENERGIESPrivate,--,,Private,Permitting,Haryana,Amar Bio Energies,biogas
