Project ID,Title,Sector,Subsector,State,Start Date,Completion Date,Total Project Cost (USD mn),Project Status,Source URL
616553,Wainganga Bridge - MH/CG Border,roads-and-highways,106,Chhattisgarh,15-Mar-2008,15-Sep-2010,17.4,COD,https://indiainvestmentgrid.gov.in/opportunities/project/616553
616553,Wainganga Bridge - MH/CG Border,roads-and-highways,106,Maharashtra,15-Mar-2008,15-Sep-2010,17.4,COD,https://indiainvestmentgrid.gov.in/opportunities/project/616553
615156,"Installation Of Crash Barrier At Narrow And Blind Curves & P/F Road Delineators And Reflectors Along Crash Barriers, Improvement Of 5 Intersections Point Between Km 233.00 To Km 283.00 Of NH-707A Under Road Safety Annual Plan 2021-22 In The State Of Uttarakhand.",roads-and-highways,106,Uttarakhand,06-Dec-2022,05-Dec-2023,0.61,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615156
709292,Landslide Mitigation Project At Ojari [Dabarkot],roads-and-highways,106,Uttarakhand,-,-,,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709292
709013,Jalihal Cross To Pattadkallu [ Km 74.51 - Km 104],roads-and-highways,106,Karnataka,-,-,44.01,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709013
706231,Tasgaon - Shirdhon,roads-and-highways,106,Maharashtra,10-Nov-2017,09-Nov-2019,24.6,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706231
708116,Construction Of 2-Lane With Hard Shoulder Of Peren-Dimapur Section On NH129A From Design Km109.494 To Km126.775,roads-and-highways,106,Nagaland,20-Oct-2020,22-Apr-2022,32.33,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/708116
613316,Khudus - Dharampuri Km 77.8 To Km 117.0 Pkg III Of Mohol Alangi,roads-and-highways,106,Maharashtra,31-Jan-2020,30-Jun-2023,145.05,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613316
614783,Providing Utility Corridor Between Km.15/500 To Km.19/00 On NH-566,roads-and-highways,106,Goa,15-Mar-2023,14-Feb-2024,3.9,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/614783
607563,KHERLI-PAHARI SECTION SH-22,roads-and-highways,106,Rajasthan,05-Aug-2017,31-Mar-2022,17.11,COD,https://indiainvestmentgrid.gov.in/opportunities/project/607563
700089,Mangloor To Telangana Maharashtra Border,roads-and-highways,106,Telangana,12-Apr-2019,26-Sep-2021,152.9,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/700089
701879,Karimnagar Smart Road Development Project,roads-and-highways,106,Telangana,09-Sep-2019,31-Mar-2022,14.2,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/701879
708334,Balance Works Of Muzzafarnagar - Haridwar [Package I],roads-and-highways,106,Uttarakhand,22-Feb-2019,31-Dec-2020,13.72,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/708334
614485,Manu- Lalchara Section From Km 0.00 To Km 16.290 [Manu-Simlung -I],roads-and-highways,106,Tripura,15-Jul-2020,27-Aug-2023,31.67,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614485
706244,Akkalkot - Dhudhni[IAHE],roads-and-highways,106,Maharashtra,23-Feb-2017,22-Feb-2019,26.58,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706244
615171,"Upgradation Of Amgaon - Gondia National Highway 543 In Km, 22/550 To Km, 42/625 [Design Km, 38/200 To Km,58/275] [ Construction Length 20.075 Km] To Two Lane With Paved Shoulder In The State Of Maharashtra On EPC Mode",roads-and-highways,106,Maharashtra,01-Nov-2021,30-May-2024,30.08,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615171
700096,Munabao [NH-25E]-Tanot From Km 0.000 To 46.000 And Km 82.600 To 310.467,roads-and-highways,106,Rajasthan,01-Jan-2019,21-Aug-2020,184.62,Completion Certificate Issued,https://indiainvestmentgrid.gov.in/opportunities/project/700096
709223,Widening /Strengthening/ Up-Gradation To Two Lane With Paved Shoulder From Km 0/00 To 148.00 On Swaroopganj-Kotara-Kherwara Section Of NH-927A On EPC Mode,roads-and-highways,106,Rajasthan,-,-,157.18,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709223
615442,4L Of Munger Mirzachauki Section From Km 95 580 To Km 125 000 [Pkg-2],roads-and-highways,106,Bihar,12-Mar-2022,10-Mar-2024,128.36,Concessionaire Appointment,https://indiainvestmentgrid.gov.in/opportunities/project/615442
709336,Daboka- Kthkhati Pkg-8,roads-and-highways,106,Assam,-,-,17.48,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709336
709014,Construction Bypass To Naragund And Navalgund,roads-and-highways,106,Karnataka,-,-,37.09,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709014
703451,Hmunpui - Phaizau Road Construction Project,roads-and-highways,106,Mizoram,-,-,22.0,Idea Stage,https://indiainvestmentgrid.gov.in/opportunities/project/703451
706083,"Rehabilitation And Upgradation To Two Lane With Paved Shoulders From Km 531.250 To Km 597.946 [Kunkuri To CG/JH Border Section] Of NH-78 In The State Of Chhattisgarh Under NHDP -IV Through Engineering, Procurement & Construction [EPC] Basis [Job No. 78-CHH-NHDPIV-2016-17-21]",roads-and-highways,106,Chhattisgarh,08-Jan-2018,31-Dec-2021,53.29,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706083
615133,Widening To Two Lane With Paved Shoulder From Km 197.27 To Km 225.610 And Km 241.50 To 243.300 Of NH-148B [Surewala Mor To Harayana/Punjab Border],roads-and-highways,106,Haryana,22-Feb-2024,21-Aug-2025,18.81,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/615133
706330,Madhugiri-Chikkaballapura- Mulbagal Section Km 343.800 To Km 400.330 Lot -I Of NH-234,roads-and-highways,106,Karnataka,20-Jul-2015,30-Jun-2021,22.36,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706330
616276,Short Term Maintenance From Km 243.00 To Km 250.00 Incl. Protection Work [R/W] On NH-534 [119],roads-and-highways,106,Uttarakhand,24-Feb-2024,23-Feb-2025,0.38,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616276
616898,PBMC Of NH-748AA From Karnataka Border[Chorla Ghat] To Sanquelim,roads-and-highways,106,Goa,06-Mar-2024,06-Mar-2029,3.39,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616898
